customer_id,customer_name,region,home_warehouse
C001,"Reid, Ferguson and Sanchez",South,Bengaluru DC
C002,Gray-Mayo,West,Pune DC
C003,"Watts, Robinson and Nguyen",West,Pune DC
C004,Perez Inc,West,Pune DC
C005,Morales-Jones,North,Chennai DC
C006,"Walter, Edwards and Rios",South,Bengaluru DC
C007,Wilkerson-Day,South,Bengaluru DC
C008,Baker and Sons,South,Bengaluru DC
C009,"Hoffman, Baker and Richards",South,Bengaluru DC
C010,"Ross, Robinson and Bright",West,Pune DC
C011,"Snyder, Campos and Callahan",North,Chennai DC
C012,Burton Ltd,South,Bengaluru DC
C013,Carlson-Cruz,North,Chennai DC
C014,"Ferrell, Rice and Maddox",South,Bengaluru DC
C015,Frazier Inc,South,Bengaluru DC
C016,"Dyer, Potter and Mack",West,Pune DC
C017,Rodriguez-Graham,West,Pune DC
C018,Smith-Bowen,West,Pune DC
C019,"Baker, Mason and White",North,Chennai DC
C020,Harrell LLC,West,Pune DC
C021,"Romero, Gonzalez and Brooks",West,Pune DC
C022,Ryan PLC,South,Bengaluru DC
C023,George Group,South,Bengaluru DC
C024,Rodriguez LLC,West,Pune DC
C025,Allen-Allen,West,Pune DC
C026,"Arroyo, Miller and Tucker",North,Chennai DC
C027,Spence PLC,North,Chennai DC
C028,Anderson Group,South,Bengaluru DC
C029,"Martin, Rose and Obrien",North,Chennai DC
C030,Hickman Ltd,West,Pune DC
C031,"Harris, Collins and Carney",West,Pune DC
C032,"Brooks, Lam and Hayes",South,Bengaluru DC
C033,Walker LLC,West,Pune DC
C034,Chapman and Sons,West,Pune DC
C035,"Robinson, Jones and Welch",West,Pune DC
C036,Jones Inc,West,Pune DC
C037,Jones-Young,North,Chennai DC
C038,"Washington, Ryan and Cummings",North,Chennai DC
C039,"Johnston, Sanchez and Kennedy",North,Chennai DC
C040,Lee-Davis,North,Chennai DC
