product_id,method,MAE,RMSE,MAPE_pct,forecast_bias
P001,Moving Average,5.29,6.69,19.38,0.25
P001,Exponential Smoothing,4.91,5.96,17.94,0.4
P002,Moving Average,2.4,2.88,22.03,0.69
P002,Exponential Smoothing,2.28,2.8,20.84,0.56
P003,Moving Average,5.38,5.8,12.12,2.17
P003,Exponential Smoothing,6.01,6.31,13.59,2.53
P004,Moving Average,5.15,6.39,38.33,0.48
P004,Exponential Smoothing,4.54,5.99,33.57,0.2
P005,Moving Average,17.48,19.39,12.25,11.69
P005,Exponential Smoothing,18.02,20.45,12.45,12.58
P006,Moving Average,4.23,4.77,18.24,-0.4
P006,Exponential Smoothing,4.21,4.77,18.2,-0.61
P007,Moving Average,2.62,3.36,17.32,1.33
P007,Exponential Smoothing,3.06,3.76,20.45,1.41
P008,Moving Average,4.6,6.33,9.82,0.77
P008,Exponential Smoothing,4.32,6.0,9.2,0.55
P009,Moving Average,9.62,10.44,24.46,2.46
P009,Exponential Smoothing,9.4,10.24,23.81,2.27
P010,Moving Average,4.52,5.25,21.02,2.9
P010,Exponential Smoothing,4.76,5.65,22.02,2.93
P011,Moving Average,7.77,8.7,10.89,2.1
P011,Exponential Smoothing,7.67,8.54,10.75,2.09
P012,Moving Average,6.21,7.14,16.68,1.62
P012,Exponential Smoothing,6.3,7.09,17.2,1.71
P013,Moving Average,10.85,13.5,13.56,1.65
P013,Exponential Smoothing,10.02,12.58,12.36,2.04
P014,Moving Average,5.17,6.68,19.45,0.92
P014,Exponential Smoothing,5.01,6.27,18.86,1.1
P015,Moving Average,14.71,17.31,12.87,10.79
P015,Exponential Smoothing,13.6,16.82,11.6,10.91
P016,Moving Average,18.52,20.98,7.81,3.27
P016,Exponential Smoothing,17.73,20.6,7.51,1.78
P017,Moving Average,9.17,11.87,6.36,4.5
P017,Exponential Smoothing,8.97,11.46,6.24,4.22
P018,Moving Average,5.67,6.93,11.53,1.58
P018,Exponential Smoothing,5.38,6.59,10.86,1.56
P019,Moving Average,6.06,7.03,13.6,3.9
P019,Exponential Smoothing,6.37,7.19,14.25,4.39
P020,Moving Average,6.85,9.39,8.13,5.15
P020,Exponential Smoothing,7.12,9.57,8.52,4.36
P021,Moving Average,6.06,7.01,14.3,1.81
P021,Exponential Smoothing,5.56,6.5,12.97,1.96
P022,Moving Average,25.1,30.95,8.55,16.65
P022,Exponential Smoothing,26.98,32.42,9.11,17.59
P023,Moving Average,10.21,13.97,9.4,4.83
P023,Exponential Smoothing,10.69,14.52,9.82,5.33
P024,Moving Average,6.4,8.22,8.32,2.02
P024,Exponential Smoothing,7.01,8.54,9.19,2.35
P025,Moving Average,3.15,4.23,32.43,1.02
P025,Exponential Smoothing,3.35,4.51,32.63,1.17
P026,Moving Average,22.12,31.08,8.46,18.25
P026,Exponential Smoothing,23.24,31.74,8.97,17.79
P027,Moving Average,3.21,4.08,30.15,0.12
P027,Exponential Smoothing,2.93,3.9,27.78,-0.02
P028,Moving Average,6.67,8.01,9.04,3.04
P028,Exponential Smoothing,6.93,7.94,9.49,2.28
P029,Moving Average,6.69,8.72,8.33,4.1
P029,Exponential Smoothing,6.83,9.31,8.49,3.72
P030,Moving Average,7.29,8.22,13.68,1.79
P030,Exponential Smoothing,7.84,8.69,14.54,2.29
P031,Moving Average,19.5,22.81,6.48,9.83
P031,Exponential Smoothing,20.58,24.29,6.84,10.67
P032,Moving Average,4.79,5.9,21.12,1.25
P032,Exponential Smoothing,4.95,5.86,22.15,1.14
P033,Moving Average,6.4,6.9,25.8,1.19
P033,Exponential Smoothing,6.44,6.99,26.33,1.02
P034,Moving Average,8.5,10.0,6.9,3.75
P034,Exponential Smoothing,8.64,10.18,6.99,4.05
P035,Moving Average,8.67,11.04,7.86,4.79
P035,Exponential Smoothing,9.25,10.99,8.5,4.09
P036,Moving Average,18.0,20.59,9.63,2.25
P036,Exponential Smoothing,17.36,20.37,9.36,1.7
P037,Moving Average,14.23,16.82,8.59,0.77
P037,Exponential Smoothing,14.02,16.15,8.4,1.99
P038,Moving Average,4.44,5.19,37.36,-0.81
P038,Exponential Smoothing,4.21,4.97,36.08,-0.77
P039,Moving Average,12.81,14.68,9.56,9.44
P039,Exponential Smoothing,14.67,16.53,10.98,9.82
P040,Moving Average,7.81,9.6,18.97,2.35
P040,Exponential Smoothing,7.33,9.41,18.0,2.34
