inventory_id,product_id,warehouse,week_start_date,opening_stock,receipts,consumption,closing_stock,stockout_units
INV000001,P001,Bengaluru DC,06-01-2025,96,0,7,89,0
INV000002,P001,Bengaluru DC,13-01-2025,89,0,28,61,0
INV000003,P001,Bengaluru DC,20-01-2025,61,0,0,61,0
INV000004,P001,Bengaluru DC,27-01-2025,61,0,0,61,0
INV000005,P001,Bengaluru DC,03-02-2025,61,0,0,61,0
INV000006,P001,Bengaluru DC,10-02-2025,61,0,14,47,0
INV000007,P001,Bengaluru DC,17-02-2025,47,47,0,94,0
INV000008,P001,Bengaluru DC,24-02-2025,94,0,8,86,0
INV000009,P001,Bengaluru DC,03-03-2025,86,0,0,86,0
INV000010,P001,Bengaluru DC,10-03-2025,86,0,0,86,0
INV000011,P001,Bengaluru DC,17-03-2025,86,46,19,113,0
INV000012,P001,Bengaluru DC,24-03-2025,113,0,0,113,0
INV000013,P001,Bengaluru DC,31-03-2025,113,0,16,97,0
INV000014,P001,Bengaluru DC,07-04-2025,97,0,0,97,0
INV000015,P001,Bengaluru DC,14-04-2025,97,0,0,97,0
INV000016,P001,Bengaluru DC,21-04-2025,97,0,0,97,0
INV000017,P001,Bengaluru DC,28-04-2025,97,35,0,132,0
INV000018,P001,Bengaluru DC,05-05-2025,132,0,0,132,0
INV000019,P001,Bengaluru DC,12-05-2025,132,32,17,147,0
INV000020,P001,Bengaluru DC,19-05-2025,147,0,26,121,0
INV000021,P001,Bengaluru DC,26-05-2025,121,0,0,121,0
INV000022,P001,Bengaluru DC,02-06-2025,121,0,0,121,0
INV000023,P001,Bengaluru DC,09-06-2025,121,0,0,121,0
INV000024,P001,Bengaluru DC,16-06-2025,121,0,43,78,0
INV000025,P001,Bengaluru DC,23-06-2025,78,44,0,122,0
INV000026,P001,Bengaluru DC,30-06-2025,122,0,0,122,0
INV000027,P001,Bengaluru DC,07-07-2025,122,0,0,122,0
INV000028,P001,Bengaluru DC,14-07-2025,122,0,15,107,0
INV000029,P001,Bengaluru DC,21-07-2025,107,0,27,80,0
INV000030,P001,Bengaluru DC,28-07-2025,80,28,0,108,0
INV000031,P001,Bengaluru DC,04-08-2025,108,0,0,108,0
INV000032,P001,Bengaluru DC,11-08-2025,108,0,0,108,0
INV000033,P001,Bengaluru DC,18-08-2025,108,0,10,98,0
INV000034,P001,Bengaluru DC,25-08-2025,98,0,10,88,0
INV000035,P001,Bengaluru DC,01-09-2025,88,27,0,115,0
INV000036,P001,Bengaluru DC,08-09-2025,115,0,0,115,0
INV000037,P001,Bengaluru DC,15-09-2025,115,0,25,90,0
INV000038,P001,Bengaluru DC,22-09-2025,90,0,8,82,0
INV000039,P001,Bengaluru DC,29-09-2025,82,0,26,56,0
INV000040,P001,Bengaluru DC,06-10-2025,56,0,9,47,0
INV000041,P001,Bengaluru DC,13-10-2025,47,38,0,85,0
INV000042,P001,Bengaluru DC,20-10-2025,85,0,0,85,0
INV000043,P001,Bengaluru DC,27-10-2025,85,0,0,85,0
INV000044,P001,Bengaluru DC,03-11-2025,85,41,0,126,0
INV000045,P001,Bengaluru DC,10-11-2025,126,0,19,107,0
INV000046,P001,Bengaluru DC,17-11-2025,107,0,0,107,0
INV000047,P001,Bengaluru DC,24-11-2025,107,0,0,107,0
INV000048,P001,Bengaluru DC,01-12-2025,107,0,0,107,0
INV000049,P001,Bengaluru DC,08-12-2025,107,36,7,136,0
INV000050,P001,Bengaluru DC,15-12-2025,136,0,0,136,0
INV000051,P001,Bengaluru DC,22-12-2025,136,0,13,123,0
INV000052,P001,Bengaluru DC,29-12-2025,123,0,27,96,0
INV000053,P001,Pune DC,06-01-2025,87,0,0,87,0
INV000054,P001,Pune DC,13-01-2025,87,0,0,87,0
INV000055,P001,Pune DC,20-01-2025,87,0,26,61,0
INV000056,P001,Pune DC,27-01-2025,61,0,0,61,0
INV000057,P001,Pune DC,03-02-2025,61,0,15,46,0
INV000058,P001,Pune DC,10-02-2025,46,0,11,35,0
INV000059,P001,Pune DC,17-02-2025,35,47,13,69,0
INV000060,P001,Pune DC,24-02-2025,69,0,11,58,0
INV000061,P001,Pune DC,03-03-2025,58,0,11,47,0
INV000062,P001,Pune DC,10-03-2025,47,0,0,47,0
INV000063,P001,Pune DC,17-03-2025,47,46,14,79,0
INV000064,P001,Pune DC,24-03-2025,79,0,0,79,0
INV000065,P001,Pune DC,31-03-2025,79,0,0,79,0
INV000066,P001,Pune DC,07-04-2025,79,0,21,58,0
