product_id,primary_supplier_id,avg_weekly_demand,std_weekly_demand,avg_lead_days,std_lead_days,safety_stock,reorder_point,eoq,unit_cost,holding_cost_per_unit
P001,S011,31.06,5.78,10.82,0.6,13.0,61.0,158.0,2344.8,515.86
P002,S011,11.98,3.6,10.91,0.94,8.0,27.0,127.0,1414.53,311.2
P003,S002,42.04,7.22,5.15,1.63,19.0,50.0,190.0,2197.1,483.36
P004,S012,21.6,5.99,14.75,3.14,21.0,67.0,147.0,1880.18,413.64
P005,S004,134.25,21.0,6.27,0.9,44.0,164.0,400.0,1587.24,349.19
P006,S010,29.88,7.29,4.92,0.67,11.0,32.0,181.0,1716.69,377.67
P007,S011,17.37,5.49,10.27,0.47,11.0,37.0,122.0,2195.84,483.08
P008,S001,50.83,8.62,6.25,0.87,17.0,62.0,476.0,424.46,93.38
P009,S012,43.83,8.02,14.5,3.54,41.0,132.0,361.0,636.66,140.07
P010,S003,24.02,7.43,9.82,1.83,18.0,52.0,316.0,454.56,100.0
P011,S004,96.65,26.17,5.91,0.83,44.0,126.0,285.0,2254.05,495.89
P012,S011,40.62,7.47,11.91,1.87,24.0,93.0,219.0,1596.2,351.16
P013,S003,87.29,13.78,9.15,1.34,38.0,152.0,336.0,1461.72,321.58
P014,S005,30.62,6.87,6.33,1.58,16.0,43.0,563.0,182.72,40.2
P015,S011,136.46,33.34,11.11,0.93,75.0,292.0,810.0,393.45,86.56
P016,S006,283.37,44.3,8.8,3.49,247.0,603.0,481.0,2319.6,510.31
P017,S008,151.63,16.76,8.3,1.25,54.0,234.0,640.0,699.75,153.94
P018,S007,51.37,7.42,5.33,1.37,20.0,59.0,257.0,1468.99,323.18
P019,S001,50.08,11.57,7.0,2.61,36.0,86.0,659.0,217.88,47.93
P020,S009,95.25,19.51,7.18,0.87,38.0,136.0,354.0,1434.81,315.66
P021,S008,42.9,6.3,9.08,3.15,34.0,90.0,1055.0,72.82,16.02
P022,S006,345.04,65.82,7.83,2.69,247.0,633.0,544.0,2204.21,484.93
P023,S005,128.33,33.82,6.58,3.37,115.0,236.0,894.0,303.79,66.83
P024,S011,74.04,8.75,12.58,2.84,53.0,186.0,256.0,2139.64,470.72
P025,S001,10.94,3.92,6.82,2.14,8.0,19.0,113.0,1610.93,354.4
P026,S002,285.17,58.6,5.75,0.45,93.0,327.0,620.0,1403.69,308.81
P027,S002,17.87,5.87,5.75,0.97,10.0,24.0,123.0,2216.13,487.55
P028,S005,88.88,17.05,5.77,0.93,32.0,105.0,269.0,2314.99,509.3
P029,S004,89.94,15.77,6.0,0.74,29.0,106.0,535.0,594.96,130.89
P030,S006,53.77,7.7,7.33,1.23,20.0,77.0,205.0,2418.88,532.15
P031,S001,322.1,40.71,6.36,1.21,112.0,405.0,643.0,1472.44,323.94
P032,S012,26.85,7.41,13.73,2.87,25.0,78.0,565.0,158.75,34.92
P033,S003,29.54,6.58,10.08,1.85,18.0,61.0,261.0,819.09,180.2
P034,S001,138.69,21.01,7.69,3.99,135.0,288.0,710.0,520.01,114.4
P035,S009,119.44,17.31,8.92,4.03,118.0,270.0,383.0,1536.32,337.99
P036,S002,222.58,33.98,5.08,0.9,67.0,229.0,501.0,1676.44,368.82
P037,S004,170.1,17.07,5.91,0.83,42.0,186.0,456.0,1547.62,340.48
P038,S006,15.13,4.64,7.0,0.94,8.0,23.0,121.0,1957.13,430.57
P039,S011,155.85,35.52,11.82,2.56,121.0,384.0,467.0,1351.27,297.28
P040,S005,46.33,9.04,5.83,1.03,18.0,56.0,276.0,1152.67,253.59
