product_id,stockout_units,units_shipped,avg_inventory,n_orders,sim_stockout_units,sim_units_shipped,sim_avg_inventory,sim_n_orders,true_demand,unit_cost,safety_stock,reorder_point,eoq,avg_lead_days,primary_supplier_id,before_service_level_pct,after_service_level_pct,before_holding_cost,after_holding_cost,before_ordering_cost,after_ordering_cost,before_total_cost,after_total_cost,stockout_units_avoided,service_level_gain_pts,cost_delta,unit_price,margin_per_unit,margin_recovered,net_benefit
P001,0,1615,67.0,13,10,1605,84.08,10,1615,2344.8,13.0,61.0,158.0,10.82,S011,100.0,99.38,34562.35,43371.59,52000.0,40000.0,86562.35,83371.59,-10,-0.62,-3190.77,3877.42,1532.62,-15326.2,-12135.43
P002,4,619,27.81,12,0,623,71.44,4,623,1414.53,8.0,27.0,127.0,10.91,S011,99.36,100.0,8653.66,22232.6,48000.0,16000.0,56653.66,38232.6,4,0.64,-18421.06,2375.32,960.79,3843.16,22264.22
P003,0,2186,128.29,13,0,2186,104.1,11,2186,2197.1,19.0,50.0,190.0,5.15,S002,100.0,100.0,62009.77,50316.13,52000.0,44000.0,114009.77,94316.13,0,0.0,-19693.64,3120.49,923.39,0.0,19693.64
P004,13,1110,46.44,12,0,1123,102.65,7,1123,1880.18,21.0,67.0,147.0,14.75,S012,98.84,100.0,19210.38,42461.7,48000.0,28000.0,67210.38,70461.7,13,1.16,3251.32,2820.09,939.91,12218.83,8967.51
P005,0,6981,424.0,13,3,6978,237.38,17,6981,1587.24,44.0,164.0,400.0,6.27,S004,100.0,99.96,148057.75,82893.0,52000.0,68000.0,200057.75,150893.0,-3,-0.04,-49164.75,2784.74,1197.5,-3592.5,45572.25
P006,0,1554,89.83,12,9,1545,96.42,8,1554,1716.69,11.0,32.0,181.0,4.92,S010,100.0,99.42,33925.1,36416.28,48000.0,32000.0,81925.1,68416.28,-9,-0.58,-13508.82,2197.68,480.99,-4328.91,9179.91
P007,0,903,55.33,13,0,903,84.44,7,903,2195.84,11.0,37.0,122.0,10.27,S011,100.0,100.0,26727.6,40792.8,52000.0,28000.0,78727.6,68792.8,0,0.0,-9934.8,3039.86,844.02,0.0,9934.8
P008,0,2643,151.73,13,0,2643,261.42,5,2643,424.46,17.0,62.0,476.0,6.25,S001,100.0,100.0,14168.8,24412.0,52000.0,20000.0,66168.8,44412.0,0,0.0,-21756.8,735.91,311.45,0.0,21756.8
P009,4,2275,95.21,13,0,2279,233.0,6,2279,636.66,41.0,132.0,361.0,14.5,S012,99.82,100.0,13335.82,32635.19,52000.0,24000.0,65335.82,56635.19,4,0.18,-8700.63,871.34,234.68,938.72,9639.35
P010,0,1249,73.58,13,0,1249,196.42,3,1249,454.56,18.0,52.0,316.0,9.82,S003,100.0,100.0,7357.93,19642.94,52000.0,12000.0,59357.93,31642.94,0,0.0,-27714.99,713.37,258.81,0.0,27714.99
P011,0,5026,294.92,12,12,5014,185.4,17,5026,2254.05,44.0,126.0,285.0,5.91,S004,100.0,99.76,146249.7,91940.1,48000.0,68000.0,194249.7,159940.1,-12,-0.24,-34309.6,3417.23,1163.18,-13958.16,20351.44
P012,18,2094,88.06,12,0,2112,129.77,9,2112,1596.2,24.0,93.0,219.0,11.91,S011,99.15,100.0,30922.69,45570.28,48000.0,36000.0,78922.69,81570.28,18,0.85,2647.59,2171.25,575.05,10350.9,7703.31
P013,0,4539,269.9,13,0,4539,243.87,13,4539,1461.72,38.0,152.0,336.0,9.15,S003,100.0,100.0,86795.25,78421.84,52000.0,52000.0,138795.25,130421.84,0,0.0,-8373.41,2002.7,540.98,0.0,8373.41
P014,0,1592,94.35,13,0,1592,314.96,2,1592,182.72,16.0,43.0,563.0,6.33,S005,100.0,100.0,3792.56,12660.95,52000.0,8000.0,55792.56,20660.95,0,0.0,-35131.61,302.84,120.12,0.0,35131.61
P015,160,6936,279.37,12,31,7065,462.81,8,7096,393.45,75.0,292.0,810.0,11.11,S011,97.75,99.56,24181.59,40060.17,48000.0,32000.0,72181.59,72060.17,129,1.82,-121.42,522.68,129.23,16670.67,16792.09
P016,0,14735,872.17,13,0,14735,570.4,30,14735,2319.6,247.0,603.0,481.0,8.8,S006,100.0,100.0,445080.39,291083.93,52000.0,120000.0,497080.39,411083.93,0,0.0,-85996.46,4161.56,1841.96,0.0,85996.46
P017,0,7885,464.37,12,0,7885,408.0,12,7885,699.75,54.0,234.0,640.0,8.3,S008,100.0,100.0,71486.73,62809.56,48000.0,48000.0,119486.73,110809.56,0,0.0,-8677.17,1223.76,524.01,0.0,8677.17
P018,0,2671,155.54,13,0,2671,137.4,10,2671,1468.99,20.0,59.0,257.0,5.33,S007,100.0,100.0,50266.58,44405.87,52000.0,40000.0,102266.58,84405.87,0,0.0,-17860.71,2320.32,851.33,0.0,17860.71
P019,0,2604,149.6,13,0,2604,373.38,3,2604,217.88,36.0,86.0,659.0,7.0,S001,100.0,100.0,7170.68,17897.67,52000.0,12000.0,59170.68,29897.67,0,0.0,-29273.01,271.82,53.94,0.0,29273.01
P020,0,4953,298.73,13,0,4953,215.02,13,4953,1434.81,38.0,136.0,354.0,7.18,S009,100.0,100.0,94296.82,67872.58,52000.0,52000.0,146296.82,119872.58,0,0.0,-26424.23,2039.52,604.71,0.0,26424.23
P021,0,2231,132.94,12,0,2231,586.67,2,2231,72.82,34.0,90.0,1055.0,9.08,S008,100.0,100.0,2129.79,9398.74,48000.0,8000.0,50129.79,17398.74,0,0.0,-32731.05,119.05,46.23,0.0,32731.05
P022,0,17942,1025.25,13,0,17942,539.63,32,17942,2204.21,247.0,633.0,544.0,7.83,S006,100.0,100.0,497170.59,261682.96,52000.0,128000.0,549170.59,389682.96,0,0.0,-159487.62,3215.21,1011.0,0.0,159487.62
P023,0,6673,396.88,13,0,6673,558.42,7,6673,303.79,115.0,236.0,894.0,6.58,S005,100.0,100.0,26525.31,37321.54,52000.0,28000.0,78525.31,65321.54,0,0.0,-13203.77,551.28,247.49,0.0,13203.77
