production_order_id,product_id,warehouse,planned_qty,actual_qty,start_date,completion_date
WO00001,P001,Bengaluru DC,57,50,2025-01-20,2025-02-01
WO00002,P001,Pune DC,54,51,2025-02-26,2025-03-04
WO00003,P001,Bengaluru DC,53,50,2025-03-24,2025-04-04
WO00004,P001,Bengaluru DC,95,84,2025-04-30,2025-05-07
WO00005,P001,Chennai DC,70,70,2025-06-04,2025-06-13
WO00006,P001,Pune DC,86,76,2025-07-09,2025-07-18
WO00007,P001,Chennai DC,95,92,2025-08-04,2025-08-13
WO00008,P001,Bengaluru DC,72,63,2025-08-27,2025-09-07
WO00009,P001,Chennai DC,84,79,2025-10-01,2025-10-13
WO00010,P001,Chennai DC,54,53,2025-10-27,2025-11-05
WO00011,P001,Chennai DC,76,78,2025-11-25,2025-12-02
WO00012,P001,Pune DC,75,73,2025-12-22,2025-12-28
WO00013,P003,Chennai DC,79,78,2025-01-22,2025-01-29
WO00014,P003,Pune DC,142,129,2025-02-25,2025-03-05
WO00015,P003,Pune DC,135,124,2025-04-01,2025-04-07
WO00016,P003,Chennai DC,87,84,2025-04-30,2025-05-10
WO00017,P003,Bengaluru DC,122,107,2025-05-20,2025-05-29
WO00018,P003,Chennai DC,140,144,2025-06-17,2025-06-25
WO00019,P003,Pune DC,105,98,2025-07-23,2025-07-31
WO00020,P003,Chennai DC,133,116,2025-08-27,2025-09-03
WO00021,P003,Chennai DC,103,103,2025-09-29,2025-10-05
WO00022,P003,Chennai DC,85,78,2025-10-21,2025-11-02
WO00023,P003,Pune DC,85,85,2025-11-18,2025-11-24
WO00024,P003,Pune DC,112,112,2025-12-09,2025-12-17
WO00025,P006,Chennai DC,116,106,2025-01-29,2025-02-09
WO00026,P006,Chennai DC,123,114,2025-02-26,2025-03-09
WO00027,P006,Bengaluru DC,113,110,2025-03-26,2025-04-06
WO00028,P006,Bengaluru DC,106,96,2025-04-28,2025-05-10
WO00029,P006,Pune DC,105,103,2025-06-04,2025-06-10
WO00030,P006,Pune DC,120,124,2025-06-30,2025-07-07
WO00031,P006,Pune DC,68,65,2025-07-23,2025-08-03
WO00032,P006,Bengaluru DC,94,82,2025-08-26,2025-08-31
WO00033,P006,Pune DC,80,76,2025-09-23,2025-10-03
WO00034,P006,Pune DC,110,103,2025-10-13,2025-10-20
WO00035,P006,Chennai DC,75,78,2025-11-04,2025-11-13
WO00036,P006,Bengaluru DC,95,88,2025-12-01,2025-12-07
WO00037,P006,Chennai DC,97,89,2025-12-23,2026-01-04
WO00038,P008,Chennai DC,176,171,2025-01-21,2025-02-02
WO00039,P008,Chennai DC,169,159,2025-02-10,2025-02-22
WO00040,P008,Chennai DC,104,93,2025-03-10,2025-03-20
WO00041,P008,Pune DC,133,122,2025-04-16,2025-04-27
WO00042,P008,Pune DC,187,181,2025-05-14,2025-05-19
WO00043,P008,Chennai DC,179,180,2025-06-17,2025-06-23
WO00044,P008,Bengaluru DC,149,129,2025-07-09,2025-07-18
WO00045,P008,Chennai DC,114,113,2025-08-13,2025-08-19
WO00046,P008,Chennai DC,187,178,2025-09-17,2025-09-22
WO00047,P008,Chennai DC,107,97,2025-10-07,2025-10-12
WO00048,P008,Bengaluru DC,171,159,2025-10-27,2025-11-05
WO00049,P008,Chennai DC,104,101,2025-12-03,2025-12-15
WO00050,P012,Bengaluru DC,125,116,2025-01-21,2025-01-26
WO00051,P012,Chennai DC,118,99,2025-02-18,2025-02-25
WO00052,P012,Bengaluru DC,91,86,2025-03-18,2025-03-27
WO00053,P012,Pune DC,96,89,2025-04-21,2025-04-30
WO00054,P012,Chennai DC,163,167,2025-05-12,2025-05-21
WO00055,P012,Chennai DC,99,97,2025-06-02,2025-06-12
WO00056,P012,Bengaluru DC,92,86,2025-06-24,2025-07-05
WO00057,P012,Bengaluru DC,115,110,2025-07-22,2025-07-31
WO00058,P012,Chennai DC,147,139,2025-08-11,2025-08-19
WO00059,P012,Pune DC,163,163,2025-09-02,2025-09-13
WO00060,P012,Bengaluru DC,130,118,2025-09-23,2025-10-05
WO00061,P012,Bengaluru DC,137,140,2025-10-20,2025-10-31
WO00062,P012,Chennai DC,104,98,2025-11-19,2025-11-25
WO00063,P012,Pune DC,131,128,2025-12-22,2025-12-31
WO00064,P013,Bengaluru DC,258,242,2025-01-13,2025-01-23
WO00065,P013,Chennai DC,329,306,2025-02-05,2025-02-16
WO00066,P013,Chennai DC,304,274,2025-03-03,2025-03-08
WO00067,P013,Pune DC,168,161,2025-04-02,2025-04-09
WO00068,P013,Pune DC,309,292,2025-04-30,2025-05-09
WO00069,P013,Chennai DC,266,269,2025-05-28,2025-06-05
WO00070,P013,Chennai DC,292,300,2025-06-23,2025-06-30
WO00071,P013,Bengaluru DC,234,220,2025-07-15,2025-07-21
WO00072,P013,Bengaluru DC,315,282,2025-08-06,2025-08-15
WO00073,P013,Pune DC,316,298,2025-09-10,2025-09-20
WO00074,P013,Chennai DC,213,201,2025-10-14,2025-10-26
WO00075,P013,Chennai DC,245,244,2025-11-11,2025-11-19
