po_id,supplier_id,product_id,order_qty,unit_price,order_date,expected_date,actual_delivery_date,defect_units,on_time
PO00001,S011,P001,141,2316.91,2025-02-06,2025-02-18,2025-02-17,4,True
PO00002,S011,P001,140,2377.76,2025-03-13,2025-03-25,2025-03-23,5,True
PO00003,S011,P001,105,2440.25,2025-04-17,2025-04-29,2025-04-29,5,True
PO00004,S011,P001,98,2295.88,2025-05-06,2025-05-18,2025-05-17,0,True
PO00005,S011,P001,133,2447.68,2025-06-12,2025-06-24,2025-06-23,5,True
PO00006,S011,P001,84,2282.58,2025-07-24,2025-08-05,2025-08-03,2,True
PO00007,S011,P001,82,2242.52,2025-08-25,2025-09-06,2025-09-05,4,True
PO00008,S011,P001,114,2461.11,2025-10-06,2025-10-18,2025-10-17,5,True
PO00009,S011,P001,124,2435.19,2025-10-29,2025-11-10,2025-11-08,3,True
PO00010,S011,P001,108,2257.2,2025-12-02,2025-12-14,2025-12-13,5,True
PO00011,S011,P001,139,2303.81,2025-12-29,2026-01-10,2026-01-09,8,True
PO00012,S011,P002,70,1442.48,2025-01-29,2025-02-10,2025-02-08,0,True
PO00013,S011,P002,67,1405.33,2025-02-27,2025-03-11,2025-03-11,2,True
PO00014,S011,P002,64,1406.31,2025-04-02,2025-04-14,2025-04-12,2,True
PO00015,S011,P002,36,1417.83,2025-05-08,2025-05-20,2025-05-19,1,True
PO00016,S011,P002,36,1474.24,2025-06-04,2025-06-16,2025-06-16,1,True
PO00017,S011,P002,64,1428.25,2025-07-16,2025-07-28,2025-07-27,4,True
PO00018,S011,P002,51,1379.15,2025-08-06,2025-08-18,2025-08-18,2,True
PO00019,S011,P002,51,1377.69,2025-09-18,2025-09-30,2025-09-28,2,True
PO00020,S011,P002,65,1402.21,2025-10-22,2025-11-03,2025-11-03,3,True
PO00021,S011,P002,58,1431.18,2025-11-11,2025-11-23,2025-11-21,2,True
PO00022,S011,P002,41,1480.97,2025-12-18,2025-12-30,2025-12-28,2,True
PO00023,S002,P003,200,2247.0,2025-01-13,2025-01-19,2025-01-17,3,True
PO00024,S002,P003,142,2179.58,2025-02-10,2025-02-16,2025-02-15,4,True
PO00025,S002,P003,155,2272.58,2025-03-26,2025-04-01,2025-03-30,2,True
PO00026,S002,P003,125,2190.54,2025-04-21,2025-04-27,2025-04-26,4,True
PO00027,S002,P003,131,2256.01,2025-05-21,2025-05-27,2025-05-25,3,True
PO00028,S002,P003,145,2305.75,2025-06-19,2025-06-25,2025-06-24,3,True
PO00029,S002,P003,177,2303.03,2025-07-17,2025-07-23,2025-07-21,4,True
PO00030,S002,P003,226,2122.09,2025-08-28,2025-09-03,2025-09-02,9,True
PO00031,S002,P003,151,2166.43,2025-09-15,2025-09-21,2025-09-21,4,True
PO00032,S002,P003,191,2158.54,2025-10-07,2025-10-13,2025-10-17,3,False
PO00033,S002,P003,209,2089.21,2025-11-05,2025-11-11,2025-11-10,9,True
PO00034,S002,P003,160,2106.9,2025-11-27,2025-12-03,2025-12-01,5,True
PO00035,S002,P003,156,2300.29,2025-12-25,2025-12-31,2025-12-31,3,True
PO00036,S012,P004,82,1806.36,2025-01-08,2025-01-22,2025-01-22,4,True
PO00037,S012,P004,96,1928.44,2025-02-18,2025-03-04,2025-03-04,3,True
PO00038,S012,P004,73,1811.5,2025-04-01,2025-04-15,2025-04-14,3,True
PO00039,S012,P004,69,1917.23,2025-04-24,2025-05-08,2025-05-17,3,False
PO00040,S012,P004,93,1837.94,2025-05-20,2025-06-03,2025-06-02,3,True
PO00041,S012,P004,69,1835.69,2025-06-16,2025-06-30,2025-06-29,3,True
PO00042,S012,P004,81,1924.11,2025-07-24,2025-08-07,2025-08-07,0,True
PO00043,S012,P004,71,1798.08,2025-08-13,2025-08-27,2025-08-31,2,False
PO00044,S012,P004,95,1815.15,2025-09-23,2025-10-07,2025-10-06,2,True
PO00045,S012,P004,59,1884.54,2025-10-29,2025-11-12,2025-11-11,3,True
PO00046,S012,P004,63,1792.05,2025-11-17,2025-12-01,2025-12-04,0,False
PO00047,S012,P004,84,1943.41,2025-12-11,2025-12-25,2025-12-23,1,True
PO00048,S004,P005,525,1519.13,2025-02-05,2025-02-12,2025-02-10,4,True
PO00049,S004,P005,480,1609.29,2025-03-06,2025-03-13,2025-03-11,4,True
PO00050,S004,P005,346,1605.8,2025-04-10,2025-04-17,2025-04-17,3,True
PO00051,S004,P005,635,1660.35,2025-04-28,2025-05-05,2025-05-03,12,True
PO00052,S004,P005,453,1538.53,2025-05-19,2025-05-26,2025-05-26,3,True
PO00053,S004,P005,462,1524.63,2025-06-17,2025-06-24,2025-06-24,5,True
PO00054,S004,P005,615,1534.35,2025-07-24,2025-07-31,2025-07-30,3,True
PO00055,S004,P005,378,1666.35,2025-08-21,2025-08-28,2025-08-28,4,True
PO00056,S004,P005,651,1559.41,2025-10-01,2025-10-08,2025-10-08,5,True
PO00057,S004,P005,597,1559.22,2025-11-06,2025-11-13,2025-11-12,1,True
PO00058,S004,P005,629,1548.21,2025-12-02,2025-12-09,2025-12-09,8,True
PO00059,S010,P006,184,1733.13,2025-01-30,2025-02-05,2025-02-03,1,True
PO00060,S010,P006,112,1684.91,2025-02-26,2025-03-04,2025-03-02,1,True
PO00061,S010,P006,126,1654.62,2025-04-01,2025-04-07,2025-04-06,0,True
PO00062,S010,P006,101,1699.49,2025-05-06,2025-05-12,2025-05-11,0,True
PO00063,S010,P006,109,1772.6,2025-06-02,2025-06-08,2025-06-07,0,True
PO00064,S010,P006,128,1764.78,2025-06-25,2025-07-01,2025-07-01,1,True
PO00065,S010,P006,131,1779.84,2025-07-30,2025-08-05,2025-08-04,1,True
PO00066,S010,P006,128,1683.18,2025-08-25,2025-08-31,2025-08-31,0,True
PO00067,S010,P006,123,1750.64,2025-09-17,2025-09-23,2025-09-21,1,True
PO00068,S010,P006,183,1760.09,2025-10-13,2025-10-19,2025-10-18,1,True
PO00069,S010,P006,106,1688.57,2025-11-04,2025-11-10,2025-11-09,0,True
PO00070,S010,P006,100,1717.0,2025-12-15,2025-12-21,2025-12-20,1,True
PO00071,S011,P007,66,2211.5,2025-01-16,2025-01-28,2025-01-27,2,True
PO00072,S011,P007,63,2288.97,2025-02-11,2025-02-23,2025-02-22,2,True
PO00073,S011,P007,65,2127.88,2025-03-03,2025-03-15,2025-03-14,5,True
PO00074,S011,P007,95,2221.36,2025-04-07,2025-04-19,2025-04-17,2,True
PO00075,S011,P007,57,2168.13,2025-05-20,2025-06-01,2025-05-30,2,True
PO00076,S011,P007,93,2289.54,2025-06-09,2025-06-21,2025-06-19,4,True
PO00077,S011,P007,62,2189.51,2025-07-14,2025-07-26,2025-07-24,2,True
PO00078,S011,P007,57,2200.95,2025-08-19,2025-08-31,2025-08-29,2,True
PO00079,S011,P007,81,2232.79,2025-09-25,2025-10-07,2025-10-05,2,True
PO00080,S011,P007,61,2259.34,2025-11-03,2025-11-15,2025-11-13,1,True
PO00081,S011,P007,51,2231.06,2025-12-08,2025-12-20,2025-12-18,2,True
