sale_id,date,product_id,customer_id,warehouse,quantity,revenue
SO000001,2025-01-07,P001,C040,Chennai DC,9,34896.78
SO000002,2025-01-09,P001,C005,Chennai DC,7,27141.94
SO000003,2025-01-07,P001,C006,Bengaluru DC,7,27141.94
SO000004,2025-01-16,P001,C008,Bengaluru DC,15,58161.3
SO000005,2025-01-16,P001,C015,Bengaluru DC,13,50406.46
SO000006,2025-01-23,P001,C035,Pune DC,26,100812.92
SO000007,2025-02-01,P001,C040,Chennai DC,13,50406.46
SO000008,2025-02-01,P001,C039,Chennai DC,20,77548.4
SO000009,2025-02-08,P001,C018,Pune DC,15,58161.3
SO000010,2025-02-04,P001,C005,Chennai DC,15,58161.3
SO000011,2025-02-11,P001,C035,Pune DC,11,42651.62
SO000012,2025-02-14,P001,C009,Bengaluru DC,14,54283.88
SO000013,2025-02-17,P001,C027,Chennai DC,12,46529.04
SO000014,2025-02-20,P001,C011,Chennai DC,15,58161.3
SO000015,2025-02-21,P001,C024,Pune DC,13,50406.46
SO000016,2025-03-01,P001,C016,Pune DC,11,42651.62
SO000017,2025-02-24,P001,C038,Chennai DC,9,34896.78
SO000018,2025-02-24,P001,C008,Bengaluru DC,8,31019.36
SO000019,2025-03-06,P001,C029,Chennai DC,7,27141.94
SO000020,2025-03-04,P001,C026,Chennai DC,7,27141.94
SO000021,2025-03-09,P001,C020,Pune DC,11,42651.62
SO000022,2025-03-11,P001,C027,Chennai DC,11,42651.62
SO000023,2025-03-10,P001,C013,Chennai DC,20,77548.4
SO000024,2025-03-20,P001,C023,Bengaluru DC,19,73670.98
SO000025,2025-03-19,P001,C017,Pune DC,14,54283.88
SO000026,2025-03-27,P001,C026,Chennai DC,37,143464.54
SO000027,2025-04-02,P001,C007,Bengaluru DC,16,62038.72
SO000028,2025-04-06,P001,C013,Chennai DC,17,65916.14
SO000029,2025-04-09,P001,C037,Chennai DC,16,62038.72
SO000030,2025-04-13,P001,C016,Pune DC,21,81425.82
SO000031,2025-04-16,P001,C038,Chennai DC,17,65916.14
SO000032,2025-04-20,P001,C021,Pune DC,11,42651.62
SO000033,2025-04-24,P001,C038,Chennai DC,41,158974.22
SO000034,2025-05-03,P001,C024,Pune DC,47,182238.74
SO000035,2025-05-05,P001,C005,Chennai DC,14,54283.88
SO000036,2025-05-07,P001,C017,Pune DC,17,65916.14
SO000037,2025-05-06,P001,C019,Chennai DC,7,27141.94
SO000038,2025-05-12,P001,C012,Bengaluru DC,10,38774.2
SO000039,2025-05-18,P001,C004,Pune DC,5,19387.1
