supplier_id,supplier_name,material_category,contracted_lead_time_days,baseline_on_time_delivery_pct,baseline_defect_rate
S001,"Rodriguez, Figueroa and Sanchez",Packaging,7,0.852,0.0191
S002,Doyle Ltd,Chemicals,6,0.904,0.0284
S003,"Mcclain, Miller and Henderson",Chemicals,10,0.852,0.0183
S004,Davis and Sons,Packaging,7,0.942,0.0104
S005,"Guzman, Hoffman and Baldwin",Automotive Parts,7,0.872,0.028
S006,"Gardner, Robinson and Lawrence",Electronics,8,0.872,0.0182
S007,Blake and Sons,Electronics,6,0.936,0.013
S008,"Henderson, Ramirez and Lewis",Electronics,9,0.893,0.0296
S009,Garcia-James,Chemicals,8,0.916,0.0243
S010,Abbott-Munoz,Electronics,6,0.934,0.0106
S011,Blair PLC,Automotive Parts,12,0.806,0.0414
S012,Dudley Group,Hardware,14,0.679,0.0407
